shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
9__1__013__1_-_IT_1,40.0322539299393,-3.59318982541858,12000004,38.143949524941
9__1__013__1_-_IT_1,40.0322287990719,-3.59318106460591,12000005,38.16501516793
9__1__013__1_-_IT_1,40.0321982351677,-3.5931644239047,12000006,38.189758365961
9__1__013__1_-_IT_1,40.0321644274698,-3.59313992346607,12000007,38.218797014242
9__1__013__1_-_IT_1,40.0321295542891,-3.59310971882386,12000008,38.25248583677
9__1__013__1_-_IT_1,40.0320979540552,-3.59308167686667,12000009,38.290420451513
9__1__013__1_-_IT_1,40.0320740016155,-3.59305655043016,12000010,38.331770349706
9__1__013__1_-_IT_1,40.0320489727602,-3.59302785517214,12000011,38.376823225152
9__1__013__1_-_IT_1,40.0320315748456,-3.59299850286785,12000012,38.425038553371
9__1__013__1_-_IT_1,40.0320189175307,-3.59295652880752,12000013,38.477100913342
9__1__013__1_-_IT_1,40.0320114119503,-3.59291120511719,12000014,38.53311911958
9__1__013__1_-_IT_1,40.0320108217229,-3.59286156722449,12000015,38.593373062327
9__1__013__1_-_IT_1,40.0320143478584,-3.59282657222507,12000016,38.656638407872
9__1__013__1_-_IT_1,40.0320228625725,-3.59279299874077,12000017,38.722920203093
9__1__013__1_-_IT_1,40.0320338544654,-3.59276268741101,12000018,38.792061564772
9__1__013__1_-_IT_1,40.032042943685,-3.59274026742288,12000019,38.86336558208
9__1__013__1_-_IT_1,40.0320588617202,-3.59271389578514,12000020,38.937530463327
9__1__013__1_-_IT_1,40.0320773114959,-3.59269403569433,12000021,39.014353339657
9__1__013__1_-_IT_1,40.0320981061746,-3.59267881611493,12000022,39.093824531219
9__1__013__1_-_IT_1,40.0321255666255,-3.59266562795729,12000023,39.176544753777
9__1__013__1_-_IT_1,40.0321721394588,-3.59264835418153,12000024,39.264640297311
9__1__013__1_-_IT_1,40.0322165195944,-3.59264036633387,12000025,39.357708709051
