stop_id,area_name,area_code
par_8_06806,San Sebastián de los Reyes,Q24012689
par_8_06807,Dehesa Boyal de San Sebastián de los Reyes,Q5801448
par_8_06808,Colegio Suizo de Madrid,Q25064035
par_8_06809,Instituto Europeo de Posgrado,Q24938079
par_8_06810,Instituto Europeo de Posgrado,Q24938079
par_8_06811,Campo de rugby Las Terrazas,Q281841
par_8_06812,Campo de rugby Las Terrazas,Q281841
par_8_06813,Runnymede College,Q7380072
par_8_06814,Campo de rugby Las Terrazas,Q281841
par_8_06815,International College Spain,Q17073922
par_8_06817,Colegio Suizo de Madrid,Q25064035
par_8_06818,Colegio Suizo de Madrid,Q25064035
par_8_06819,Instituto Europeo de Posgrado,Q24938079
par_8_06821,Runnymede College,Q7380072
par_8_06823,Centro de Estudios Ibn Gabirol - Colegio Estrella Toledano,Q136556215
par_8_06825,Centro de Estudios Ibn Gabirol - Colegio Estrella Toledano,Q136556215
par_8_06827,Centro de Estudios Ibn Gabirol - Colegio Estrella Toledano,Q136556215
par_8_06829,Eurostars Madrid Congress,Q111389676
par_8_06831,Red Eléctrica de España,Q1551220
par_8_06832,Red Eléctrica de España,Q1551220
par_8_06836,Biblioteca de los Laboratorios Lilly,Q85696037
par_8_06838,Eurostars Madrid Congress,Q111389676
par_8_06839,Colegio Suizo de Madrid,Q25064035
par_8_06840,Eurostars Madrid Congress,Q111389676
par_8_06841,Eurostars Madrid Congress,Q111389676
par_8_06842,Fenwick Iribarren Architects,Q111663169
par_8_06843,La Granja,Q8779955
par_8_06859,Cerro Perdigones Park,Q24023148
par_8_06860,Iglesia de Santa María de Caná,Q26879539
par_8_06861,Fenwick Iribarren Architects,Q111663169
par_8_06862,International College Spain,Q17073922
par_8_06863,Colegio Suizo de Madrid,Q25064035
par_8_06864,MB One,Q63959577
par_8_06865,Anillo Verde Ciclista,Q24036428
par_8_06878,Las Villas de Nuevo Baztán,Q5561427
par_8_06879,Cotos,Q115502301
par_8_06880,Cotos,Q115502301
par_8_06881,Nuevo Baztán,Q921352
par_8_06882,Pozuelo de Alarcón,Q24012704
par_8_06883,Pozuelo de Alarcón,Q24012704
par_8_06884,Estación de Bélgica,Q3647031
par_8_06885,Mediateca Municipal - Pablo Iglesias,Q85696054
par_8_06888,Biblioteca Municipal Central - Federico García Lorca,Q85699092
par_8_06889,Biblioteca Municipal Central - Federico García Lorca,Q85699092
par_8_06890,Parque de Las Veredillas,Q24021201
par_8_06891,Biblioteca Municipal Central - Federico García Lorca,Q85699092
par_8_06892,Parque de Las Veredillas,Q24021201
par_8_06893,Parque de Las Veredillas,Q24021201
par_8_06894,Parque de Las Veredillas,Q24021201
par_8_06895,Agua Park,Q24023286
par_8_06896,Agua Park,Q24023286
