id,name,population
11028,Puerto Real,41771
11029,Puerto Serrano,6954
11030,Rota,29326
11031,San Fernando,94867
11032,Sanlúcar de Barrameda,69507
11033,San Roque,32178
11034,Setenil de las Bodegas,2698
11035,Tarifa,18466
11037,Trebujena,7042
11038,Ubrique,16482
11039,Vejer de la Frontera,12572
11041,Villamartín,12125
11901,Benalup-Casas Viejas,7020
11902_AM,San José del Valle agregacion de municipios,5874
11903,San Martín del Tesorillo,2821
12004,Alcalà de Xivert,6691
12005,"Alcora, l'",10428
12009,Almassora,26878
12011_AM,Almenara agregacion de municipios,7237
12012_AM,Altura agregacion de municipios,6058
12016_AM,Artana agregacion de municipios,5324
12021,Betxí,5605
12027,Benicarló,27658
12028,Benicasim/Benicàssim,18991
12031,Borriol,5552
12032,Borriana/Burriana,34903
12033_AM,Cabanes agregacion de municipios,5094
12034_AM,Càlig agregacion de municipios,5966
12040,Castelló de la Plana,172589
12050_AM,"Coves de Vinromà, les agregacion de municipios",4974
12053,Chilches/Xilxes,2795
12072_AM,Llucena/Lucena del Cid agregacion de municipios,5736
12077,Moncofa,6958
12080_AM,Morella agregacion de municipios,5497
12082,Nules,13256
12084,Onda,24939
12085,Oropesa del Mar/Orpesa,9755
12089,Peníscola/Peñíscola,7882
12104,Segorbe,9139
12106_AM,Soneja agregacion de municipios,5194
12117,Torreblanca,5606
12121_AM,Traiguera agregacion de municipios,5166
12124,Vall d'Alba,2943
12126,"Vall d'Uixó, la",31549
12128_AM,Vilafamés agregacion de municipios,3339
12129_AM,Vilafranca/Villafranca del Cid agregacion de municipios,5881
12135,Vila-real,51130
12136,"Vilavella, la",3111
12138,Vinaròs,28862
12140_AM,Viver agregacion de municipios,5293
12901,"Alqueries, les/Alquerías del Niño Perdido",4539
12902_AM,Sant Joan de Moró agregacion de municipios,4546
13001_AM,Abenójar agregacion de municipios,4871
13005,Alcázar de San Juan,30548
13009_AM,Aldea del Rey agregacion de municipios,3255
13011,Almadén,5105
13013,Almagro,8896
13015,Almodóvar del Campo,5947
13019,Argamasilla de Alba,6844
13020_AM,Argamasilla de Calatrava agregacion de municipios,6279
13023,Bolaños de Calatrava,11992
13027,Calzada de Calatrava,3615
13028_AM,Campo de Criptana agregacion de municipios,13801
13031,Carrión de Calatrava,3086
13033_AM,Castellar de Santiago agregacion de municipios,4860
13034,Ciudad Real,75104
13038_AM,Chillón agregacion de municipios,4774
13039,Daimiel,17771
13042_AM,Fuencaliente agregacion de municipios,4183
13044_AM,Fuente el Fresno agregacion de municipios,4017
13047,Herencia,8510
13052,Malagón,7842
13053_AM,Manzanares agregacion de municipios,18545
13054,Membrilla,5927
13056,Miguelturra,15658
13058,Moral de Calatrava,5211
13061,Pedro Muñoz,7325
13063_AM,Piedrabuena agregacion de municipios,6779
13064,Poblete,2759
13065_AM,Porzuna agregacion de municipios,4553
13066,Pozuelo de Calatrava,3623
13068_AM,Puebla de Don Rodrigo agregacion de municipios,4862
13071,Puertollano,46036
13077,Santa Cruz de Mudela,4017
13078,Socuéllamos,12067
13079,"Solana, La",15357
13082,Tomelloso,35984
13083_AM,Torralba de Calatrava agregacion de municipios,3969
13085,Torrenueva,2708
13087,Valdepeñas,30218
13089_AM,Villahermosa agregacion de municipios,5798
13092_AM,Villanueva de la Fuente agregacion de municipios,6672
13093_AM,Villanueva de los Infantes agregacion de municipios,5318
13096,Villarrubia de los Ojos,9722
13097_AM,Villarta de San Juan agregacion de municipios,5209
